QuestionID	QuestionText	BlockID	BlockText	Answer	N	Percentage
Q02.1a	Modalities of communication between chief statistician and policy-making authorities	R02	Attending Upper/lower house hearings	The Director-General of SURS is a member of the Economic Committee of the Government.		
Q02.1a	Modalities of communication between chief statistician and policy-making authorities	R02	Attending Upper/lower house hearings	The President of the HCSO participates as a permanent invitee at the meeting of the forum preparing the meeting of the Government and shall be invited to the item on the agenda of the meeting of the Government that concerns the tasks of the HCSO		
Q02.1a	Modalities of communication between chief statistician and policy-making authorities	R02	Attending Upper/lower house hearings	varies, depending on the situation		
Q02.1a	Modalities of communication between chief statistician and policy-making authorities	R02	Attending Upper/lower house hearings	weekly attendance at the regular Government meetings		
Q02.1a	Modalities of communication between chief statistician and policy-making authorities	R03	Other		81	87
Q02.1a	Modalities of communication between chief statistician and policy-making authorities	R03	Other	0		
Q02.1a	Modalities of communication between chief statistician and policy-making authorities	R03	Other	1		
Q02.1a	Modalities of communication between chief statistician and policy-making authorities	R03	Other	Access to key ministerial professional staff	1	1
Q02.1a	Modalities of communication between chief statistician and policy-making authorities	R03	Other	Any types of communication (letters, e-mails, telephone, face to face meetings etc)	1	1
Q02.1a	Modalities of communication between chief statistician and policy-making authorities	R03	Other	Chief of Cabinet of Ministers	1	1
Q02.1a	Modalities of communication between chief statistician and policy-making authorities	R03	Other	Department Head Meetings and regular engagement	1	1
Q02.1a	Modalities of communication between chief statistician and policy-making authorities	R03	Other	Dialouge meetings through ministries	1	1
Q02.1a	Modalities of communication between chief statistician and policy-making authorities	R03	Other	Meeting with ministry	1	1
Q02.1a	Modalities of communication between chief statistician and policy-making authorities	R03	Other	Rèunions avec la tutelle ministérielle	1	1
Q02.1a	Modalities of communication between chief statistician and policy-making authorities	R03	Other	Réunion du Conseil de Cabinet Ministériel de tutelle	1	1
Q02.1a	Modalities of communication between chief statistician and policy-making authorities	R03	Other	The Director-General of SURS is a member of the Economic Committee of the Government.	1	1
Q02.1a	Modalities of communication between chief statistician and policy-making authorities	R03	Other	The President of the HCSO participates as a permanent invitee at the meeting of the forum preparing the meeting of the Government and shall be invited to the item on the agenda of the meeting of the Government that concerns the tasks of the HCSO	1	1
Q02.1a	Modalities of communication between chief statistician and policy-making authorities	R03	Other	varies, depending on the situation	1	1
Q02.1a	Modalities of communication between chief statistician and policy-making authorities	R03	Other	weekly attendance at the regular Government meetings	1	1
